trial0002001, ZIC, 8540, 38, 224.736842, ZIP, 16, 2, 8.000000, 
trial0002002, ZIC, 7937, 38, 208.868421, ZIP, 53, 2, 26.500000, 
trial0002003, ZIC, 7608, 38, 200.210526, ZIP, 1175, 2, 587.500000, 
trial0002004, ZIC, 7546, 38, 198.578947, ZIP, 102, 2, 51.000000, 
trial0002005, ZIC, 7603, 38, 200.078947, ZIP, 1034, 2, 517.000000, 
trial0002006, ZIC, 8431, 38, 221.868421, ZIP, 605, 2, 302.500000, 
trial0002007, ZIC, 6621, 38, 174.236842, ZIP, 1045, 2, 522.500000, 
trial0002008, ZIC, 8096, 38, 213.052632, ZIP, 437, 2, 218.500000, 
trial0002009, ZIC, 7466, 38, 196.473684, ZIP, 464, 2, 232.000000, 
trial0002010, ZIC, 6958, 38, 183.105263, ZIP, 926, 2, 463.000000, 
trial0002011, ZIC, 7792, 38, 205.052632, ZIP, 467, 2, 233.500000, 
trial0002012, ZIC, 8188, 38, 215.473684, ZIP, 750, 2, 375.000000, 
trial0002013, ZIC, 8270, 38, 217.631579, ZIP, 847, 2, 423.500000, 
trial0002014, ZIC, 7757, 38, 204.131579, ZIP, 957, 2, 478.500000, 
trial0002015, ZIC, 6387, 38, 168.078947, ZIP, 484, 2, 242.000000, 
trial0002016, ZIC, 8203, 38, 215.868421, ZIP, 124, 2, 62.000000, 
trial0002017, ZIC, 8346, 38, 219.631579, ZIP, 31, 2, 15.500000, 
trial0002018, ZIC, 7379, 38, 194.184211, ZIP, 1104, 2, 552.000000, 
trial0002019, ZIC, 7656, 38, 201.473684, ZIP, 964, 2, 482.000000, 
trial0002020, ZIC, 7878, 38, 207.315789, ZIP, 157, 2, 78.500000, 
trial0002021, ZIC, 8444, 38, 222.210526, ZIP, 1, 2, 0.500000, 
trial0002022, ZIC, 7376, 38, 194.105263, ZIP, 1155, 2, 577.500000, 
trial0002023, ZIC, 8608, 38, 226.526316, ZIP, 0, 2, 0.000000, 
trial0002024, ZIC, 7435, 38, 195.657895, ZIP, 1121, 2, 560.500000, 
trial0002025, ZIC, 8552, 38, 225.052632, ZIP, 0, 2, 0.000000, 
trial0002026, ZIC, 7351, 38, 193.447368, ZIP, 1373, 2, 686.500000, 
trial0002027, ZIC, 7877, 38, 207.289474, ZIP, 757, 2, 378.500000, 
trial0002028, ZIC, 8449, 38, 222.342105, ZIP, 19, 2, 9.500000, 
trial0002029, ZIC, 7055, 38, 185.657895, ZIP, 1325, 2, 662.500000, 
trial0002030, ZIC, 8272, 38, 217.684211, ZIP, 30, 2, 15.000000, 
trial0002031, ZIC, 7172, 38, 188.736842, ZIP, 888, 2, 444.000000, 
trial0002032, ZIC, 7558, 38, 198.894737, ZIP, 1289, 2, 644.500000, 
trial0002033, ZIC, 8614, 38, 226.684211, ZIP, 383, 2, 191.500000, 
trial0002034, ZIC, 8538, 38, 224.684211, ZIP, 43, 2, 21.500000, 
trial0002035, ZIC, 7373, 38, 194.026316, ZIP, 1081, 2, 540.500000, 
trial0002036, ZIC, 7770, 38, 204.473684, ZIP, 386, 2, 193.000000, 
trial0002037, ZIC, 7516, 38, 197.789474, ZIP, 1412, 2, 706.000000, 
trial0002038, ZIC, 8388, 38, 220.736842, ZIP, 4, 2, 2.000000, 
trial0002039, ZIC, 7515, 38, 197.763158, ZIP, 836, 2, 418.000000, 
trial0002040, ZIC, 6808, 38, 179.157895, ZIP, 1638, 2, 819.000000, 
trial0002041, ZIC, 7705, 38, 202.763158, ZIP, 508, 2, 254.000000, 
trial0002042, ZIC, 8200, 38, 215.789474, ZIP, 343, 2, 171.500000, 
trial0002043, ZIC, 7361, 38, 193.710526, ZIP, 972, 2, 486.000000, 
trial0002044, ZIC, 7922, 38, 208.473684, ZIP, 9, 2, 4.500000, 
trial0002045, ZIC, 7566, 38, 199.105263, ZIP, 1018, 2, 509.000000, 
trial0002046, ZIC, 7440, 38, 195.789474, ZIP, 740, 2, 370.000000, 
trial0002047, ZIC, 8788, 38, 231.263158, ZIP, 52, 2, 26.000000, 
trial0002048, ZIC, 7377, 38, 194.131579, ZIP, 358, 2, 179.000000, 
trial0002049, ZIC, 8008, 38, 210.736842, ZIP, 44, 2, 22.000000, 
trial0002050, ZIC, 7504, 38, 197.473684, ZIP, 945, 2, 472.500000, 
trial0002051, ZIC, 8067, 38, 212.289474, ZIP, 30, 2, 15.000000, 
trial0002052, ZIC, 8057, 38, 212.026316, ZIP, 947, 2, 473.500000, 
trial0002053, ZIC, 8341, 38, 219.500000, ZIP, 143, 2, 71.500000, 
trial0002054, ZIC, 7121, 38, 187.394737, ZIP, 1670, 2, 835.000000, 
trial0002055, ZIC, 6932, 38, 182.421053, ZIP, 1568, 2, 784.000000, 
trial0002056, ZIC, 6672, 38, 175.578947, ZIP, 1672, 2, 836.000000, 
trial0002057, ZIC, 8532, 38, 224.526316, ZIP, 112, 2, 56.000000, 
trial0002058, ZIC, 7825, 38, 205.921053, ZIP, 880, 2, 440.000000, 
trial0002059, ZIC, 7747, 38, 203.868421, ZIP, 754, 2, 377.000000, 
trial0002060, ZIC, 7536, 38, 198.315789, ZIP, 609, 2, 304.500000, 
trial0002061, ZIC, 8273, 38, 217.710526, ZIP, 327, 2, 163.500000, 
trial0002062, ZIC, 7946, 38, 209.105263, ZIP, 591, 2, 295.500000, 
trial0002063, ZIC, 8672, 38, 228.210526, ZIP, 77, 2, 38.500000, 
trial0002064, ZIC, 6785, 38, 178.552632, ZIP, 1439, 2, 719.500000, 
trial0002065, ZIC, 8516, 38, 224.105263, ZIP, 298, 2, 149.000000, 
trial0002066, ZIC, 7939, 38, 208.921053, ZIP, 354, 2, 177.000000, 
trial0002067, ZIC, 8640, 38, 227.368421, ZIP, 27, 2, 13.500000, 
trial0002068, ZIC, 8786, 38, 231.210526, ZIP, 12, 2, 6.000000, 
trial0002069, ZIC, 7994, 38, 210.368421, ZIP, 737, 2, 368.500000, 
trial0002070, ZIC, 7433, 38, 195.605263, ZIP, 686, 2, 343.000000, 
trial0002071, ZIC, 7964, 38, 209.578947, ZIP, 87, 2, 43.500000, 
trial0002072, ZIC, 7302, 38, 192.157895, ZIP, 1280, 2, 640.000000, 
trial0002073, ZIC, 7342, 38, 193.210526, ZIP, 950, 2, 475.000000, 
trial0002074, ZIC, 7848, 38, 206.526316, ZIP, 569, 2, 284.500000, 
trial0002075, ZIC, 8586, 38, 225.947368, ZIP, 179, 2, 89.500000, 
